system,tot_energy
Ni_N_din4_x2_c4_a,-625.95
Os_N_din4_x2_c4_a,-630.387
Pd_N_din4_x2_c4_a,-626.302
Pt_N_din4_x2_c4_a,-628.012
Rh_N_din4_x2_c4_a,-627.674
Ru_N_din4_x2_c4_a,-628.816
Zn_N_din4_x2_c4_a,-621.383
Ag_N_din4_x2_c4_a_v2,-622.724
Au_N_din4_x2_c4_a_v2,-620.895
Cd_N_din4_x2_c4_a_v2,-614.854
Co_N_din4_x2_c4_a_v2,-625.174
Cu_N_din4_x2_c4_a_v2,-623.607
Fe_N_din4_x2_c4_a_v2,-626.836
Ir_N_din4_x2_c4_a_v2,-628.153
Ni_N_din4_x2_c4_a_v2,-623.723
Os_N_din4_x2_c4_a_v2,-629.877
Pd_N_din4_x2_c4_a_v2,-623.89
Pt_N_din4_x2_c4_a_v2,-625.944
Rh_N_din4_x2_c4_a_v2,-626.032
Ru_N_din4_x2_c4_a_v2,-627.651
Zn_N_din4_x2_c4_a_v2,-621.396
Ag_N_din4_x2_c4_b,-621.786
Au_N_din4_x2_c4_b,-623.496
Cd_N_din4_x2_c4_b,-619.405
Co_N_din4_x2_c4_b,-626.128
Cu_N_din4_x2_c4_b,-622.732
Fe_N_din4_x2_c4_b,-627.579
Ir_N_din4_x2_c4_b,-628.549
Ni_N_din4_x2_c4_b,-624.999
Os_N_din4_x2_c4_b,-629.698
Pd_N_din4_x2_c4_b,-625.298
Pt_N_din4_x2_c4_b,-627.174
Rh_N_din4_x2_c4_b,-626.662
Ru_N_din4_x2_c4_b,-627.794
Zn_N_din4_x2_c4_b,-620.217
Ag_N_din4_x2_c4_c,-622.282
Au_N_din4_x2_c4_c,-623.767
Cd_N_din4_x2_c4_c,-620.44
Co_N_din4_x2_c4_c,-623.928
Cu_N_din4_x2_c4_c,-623.183
Fe_N_din4_x2_c4_c,-627.278
Ir_N_din4_x2_c4_c,-628.334
Ni_N_din4_x2_c4_c,-622.095
Os_N_din4_x2_c4_c,-629.515
Pd_N_din4_x2_c4_c,-624.959
Pt_N_din4_x2_c4_c,-626.854
Rh_N_din4_x2_c4_c,-626.34
Ru_N_din4_x2_c4_c,-627.599
Zn_N_din4_x2_c4_c,-621.622
Ag_N_din4_x2_c4_c_v2,-622.281
Au_N_din4_x2_c4_c_v2,-623.767
Cd_N_din4_x2_c4_c_v2,-620.437
Co_N_din4_x2_c4_c_v2,-626.809
Cu_N_din4_x2_c4_c_v2,-623.184
Fe_N_din4_x2_c4_c_v2,-628.325
Ir_N_din4_x2_c4_c_v2,-628.932
Ni_N_din4_x2_c4_c_v2,-625.608
Os_N_din4_x2_c4_c_v2,-630.045
Pd_N_din4_x2_c4_c_v2,-625.909
Pt_N_din4_x2_c4_c_v2,-627.541
Rh_N_din4_x2_c4_c_v2,-627.265
Ru_N_din4_x2_c4_c_v2,-628.426
Zn_N_din4_x2_c4_c_v2,-621.622
Ag_N_din4_x2_c4_d,-620.286
Au_N_din4_x2_c4_d,-623.329
Cd_N_din4_x2_c4_d,-619.287
Co_N_din4_x2_c4_d,-625.887
Cu_N_din4_x2_c4_d,-622.103
Fe_N_din4_x2_c4_d,-627.511
Ir_N_din4_x2_c4_d,-627.149
Ni_N_din4_x2_c4_d,-624.865
Os_N_din4_x2_c4_d,-629.322
Pd_N_din4_x2_c4_d,-625.198
Pt_N_din4_x2_c4_d,-627.061
Rh_N_din4_x2_c4_d,-625.68
Ru_N_din4_x2_c4_d,-627.495
Zn_N_din4_x2_c4_d,-620.682
Ag_N_din4_x2_c4_d_v2,-620.285
Au_N_din4_x2_c4_d_v2,-623.329
Cd_N_din4_x2_c4_d_v2,-619.286
Co_N_din4_x2_c4_d_v2,-625.887
Cu_N_din4_x2_c4_d_v2,-622.104
Fe_N_din4_x2_c4_d_v2,-627.511
Ir_N_din4_x2_c4_d_v2,-628.773
Ni_N_din4_x2_c4_d_v2,-624.865
Os_N_din4_x2_c4_d_v2,-630.17
Pd_N_din4_x2_c4_d_v2,-625.198
Pt_N_din4_x2_c4_d_v2,-627.061
Rh_N_din4_x2_c4_d_v2,-625.681
Ru_N_din4_x2_c4_d_v2,-628.132
Zn_N_din4_x2_c4_d_v2,-620.833
Ag_N_din4_x2_c4_e,-622.681
Au_N_din4_x2_c4_e,-624.225
Cd_N_din4_x2_c4_e,-620.58
Co_N_din4_x2_c4_e,-626.856
Cu_N_din4_x2_c4_e,-623.532
Fe_N_din4_x2_c4_e,-628.416
Ir_N_din4_x2_c4_e,-629.039
Ni_N_din4_x2_c4_e,-625.669
Os_N_din4_x2_c4_e,-630.043
Pd_N_din4_x2_c4_e,-626.043
Pt_N_din4_x2_c4_e,-627.716
Rh_N_din4_x2_c4_e,-627.37
Ru_N_din4_x2_c4_e,-628.469
Zn_N_din4_x2_c4_e,-621.346
Ag_N_din4_x2_c4_f,-618.05
Au_N_din4_x2_c4_f,-622.374
Cd_N_din4_x2_c4_f,-618.204
Co_N_din4_x2_c4_f,-616.008
Cu_N_din4_x2_c4_f,-599.786
Fe_N_din4_x2_c4_f,-605.17
Ir_N_din4_x2_c4_f,-628.65
Ni_N_din4_x2_c4_f,-611.433
Os_N_din4_x2_c4_f,-622.144
Pd_N_din4_x2_c4_f,-625.365
Pt_N_din4_x2_c4_f,-625.943
Rh_N_din4_x2_c4_f,-627.076
Ru_N_din4_x2_c4_f,-589.698
Zn_N_din4_x2_c4_f,-618.9
Ag_N_din4_x2_c4_f_v2,-620.953
Au_N_din4_x2_c4_f_v2,-621.301
Cd_N_din4_x2_c4_f_v2,-619.449
Co_N_din4_x2_c4_f_v2,-626.837
Cu_N_din4_x2_c4_f_v2,-622.211
Fe_N_din4_x2_c4_f_v2,-628.059
Ir_N_din4_x2_c4_f_v2,-627.762
Ni_N_din4_x2_c4_f_v2,-626.011
Os_N_din4_x2_c4_f_v2,-629.331
Pd_N_din4_x2_c4_f_v2,-624.323
Pt_N_din4_x2_c4_f_v2,-625.035
Rh_N_din4_x2_c4_f_v2,-626.497
Ru_N_din4_x2_c4_f_v2,-627.783
Zn_N_din4_x2_c4_f_v2,-621.023
Ag_N_din4_x2_c5_a,-622.381
Au_N_din4_x2_c5_a,-624.164
Cd_N_din4_x2_c5_a,-620.1
Co_N_din4_x2_c5_a,-626.347
Cu_N_din4_x2_c5_a,-623.298
Fe_N_din4_x2_c5_a,-628.045
Ir_N_din4_x2_c5_a,-628.588
Ni_N_din4_x2_c5_a,-625.186
Os_N_din4_x2_c5_a,-629.769
Pd_N_din4_x2_c5_a,-625.48
Pt_N_din4_x2_c5_a,-627.418
Rh_N_din4_x2_c5_a,-626.749
Ru_N_din4_x2_c5_a,-627.969
Zn_N_din4_x2_c5_a,-620.809
Ag_N_din4_x2_c5_b,-621.408
Au_N_din4_x2_c5_b,-623.387
Cd_N_din4_x2_c5_b,-617.89
Co_N_din4_x2_c5_b,-625.175
Cu_N_din4_x2_c5_b,-622.381
Fe_N_din4_x2_c5_b,-626.791
Ir_N_din4_x2_c5_b,-628.127
Ni_N_din4_x2_c5_b,-623.466
Os_N_din4_x2_c5_b,-629.529
Pd_N_din4_x2_c5_b,-623.265
Pt_N_din4_x2_c5_b,-624.83
Rh_N_din4_x2_c5_b,-626.03
Ru_N_din4_x2_c5_b,-627.373
Zn_N_din4_x2_c5_b,-619.405
Ag_N_din4_x2_c5_b_v2,-619.131
Au_N_din4_x2_c5_b_v2,-624.405
Cd_N_din4_x2_c5_b_v2,-618.025
Co_N_din4_x2_c5_b_v2,-624.571
Cu_N_din4_x2_c5_b_v2,-620.787
Fe_N_din4_x2_c5_b_v2,-626.155
Ir_N_din4_x2_c5_b_v2,-625.781
Ni_N_din4_x2_c5_b_v2,-625.575
Os_N_din4_x2_c5_b_v2,-627.908
Pd_N_din4_x2_c5_b_v2,-625.779
Pt_N_din4_x2_c5_b_v2,-627.687
Rh_N_din4_x2_c5_b_v2,-624.315
Ru_N_din4_x2_c5_b_v2,-626.392
Zn_N_din4_x2_c5_b_v2,-619.401
Ag_N_din6_as_c0,-622.034
Au_N_din6_as_c0,-622.216
Cd_N_din6_as_c0,-621.542
Co_N_din6_as_c0,-627.069
Cu_N_din6_as_c0,-623.634
Fe_N_din6_as_c0,-628.361
Ir_N_din6_as_c0,-626.44
Ni_N_din6_as_c0,-625.122
Os_N_din6_as_c0,-628.874
Pd_N_din6_as_c0,-624.191
Pt_N_din6_as_c0,-624.685
