system,tot_energy
Pt_Fe_N_din4_x2_c5_b,-635.201
Rh_Fe_N_din4_x2_c5_b,-634.96
Ru_Fe_N_din4_x2_c5_b,-637.07
Zn_Fe_N_din4_x2_c5_b,-628.5
Ag_Fe_N_din4_x2_c5_b_v2,-629.754
Au_Fe_N_din4_x2_c5_b_v2,-631.439
Cd_Fe_N_din4_x2_c5_b_v2,-619.791
Co_Fe_N_din4_x2_c5_b_v2,-635.827
Cu_Fe_N_din4_x2_c5_b_v2,-632.527
Fe_Fe_N_din4_x2_c5_b_v2,-636.881
Ir_Fe_N_din4_x2_c5_b_v2,-637.381
Ni_Fe_N_din4_x2_c5_b_v2,-634.696
Os_Fe_N_din4_x2_c5_b_v2,-639.139
Pd_Fe_N_din4_x2_c5_b_v2,-633.323
Pt_Fe_N_din4_x2_c5_b_v2,-634.606
Rh_Fe_N_din4_x2_c5_b_v2,-635.451
Ru_Fe_N_din4_x2_c5_b_v2,-637.244
Zn_Fe_N_din4_x2_c5_b_v2,-629.575
Ag_Fe_C_din6_as_c6,-629.665
Au_Fe_C_din6_as_c6,-631.165
Cd_Fe_C_din6_as_c6,-627.22
Co_Fe_C_din6_as_c6,-634.86
Cu_Fe_C_din6_as_c6,-631.681
Fe_Fe_C_din6_as_c6,-636.084
Ir_Fe_C_din6_as_c6,-636.678
Ni_Fe_C_din6_as_c6,-634.015
Os_Fe_C_din6_as_c6,-638.363
Pd_Fe_C_din6_as_c6,-633.379
Pt_Fe_C_din6_as_c6,-634.899
Rh_Fe_C_din6_as_c6,-635.136
Ru_Fe_C_din6_as_c6,-636.574
Zn_Fe_C_din6_as_c6,-628.848
Ag_Fe_N_din6_as_c0,-630.305
Au_Fe_N_din6_as_c0,-631.052
Cd_Fe_N_din6_as_c0,-629.099
Co_Fe_N_din6_as_c0,-636.108
Cu_Fe_N_din6_as_c0,-632.4
Fe_Fe_N_din6_as_c0,-637.068
