system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint
Pd_Fe_N_din4_x2_c1_a_v2,-634.664,Pd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Pd_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Pd_N_din4_x2_c1_a_v2,-624.122,Fe_N_din4_x2_c1_a_v2,-628.127,0.8089999999998554
Pt_Fe_N_din4_x2_c1_a_v2,-636.038,Pt,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Pt_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Pt_N_din4_x2_c1_a_v2,-625.26,Fe_N_din4_x2_c1_a_v2,-628.127,0.5730000000000928
Rh_Fe_N_din4_x2_c1_a_v2,-637.228,Rh,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Rh_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Rh_N_din4_x2_c1_a_v2,-626.654,Fe_N_din4_x2_c1_a_v2,-628.127,0.7770000000000437
Ru_Fe_N_din4_x2_c1_a_v2,-638.887,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ru_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Ru_N_din4_x2_c1_a_v2,-628.407,Fe_N_din4_x2_c1_a_v2,-628.127,0.8709999999999809
Zn_Fe_N_din4_x2_c1_a_v2,-628.766,Zn,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Zn_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Zn_N_din4_x2_c1_a_v2,-620.967,Fe_N_din4_x2_c1_a_v2,-628.127,3.552000000000021
Ag_Fe_N_din4_x2_c1_b,-629.43,Ag,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ag_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Ag_N_din4_x2_c1_b,-619.484,Fe_N_din4_x2_c1_b,-626.942,2.9890000000001464
Au_Fe_N_din4_x2_c1_b,-630.538,Au,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Au_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Au_N_din4_x2_c1_b,-620.59,Fe_N_din4_x2_c1_b,-626.942,2.9869999999999663
Cd_Fe_N_din4_x2_c1_b,-627.922,Cd,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Cd_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Cd_N_din4_x2_c1_b,-618.701,Fe_N_din4_x2_c1_b,-626.942,3.713999999999942
Co_Fe_N_din4_x2_c1_b,-637.43,Co,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Co_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Co_N_din4_x2_c1_b,-625.412,Fe_N_din4_x2_c1_b,-626.942,0.9170000000001437
Cu_Fe_N_din4_x2_c1_b,-632.16,Cu,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Cu_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Cu_N_din4_x2_c1_b,-621.184,Fe_N_din4_x2_c1_b,-626.942,1.95900000000006
Fe_Fe_N_din4_x2_c1_b,-638.72,Fe,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Fe_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Fe_N_din4_x2_c1_b,-626.942,Fe_N_din4_x2_c1_b,-626.942,1.1570000000001528
Ir_Fe_N_din4_x2_c1_b,-638.512,Ir,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ir_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Ir_N_din4_x2_c1_b,-627.399,Fe_N_din4_x2_c1_b,-626.942,1.82200000000023
Ni_Fe_N_din4_x2_c1_b,-635.484,Ni,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ni_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Ni_N_din4_x2_c1_b,-623.579,Fe_N_din4_x2_c1_b,-626.942,1.0299999999999727
Os_Fe_N_din4_x2_c1_b,-640.368,Os,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Os_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Os_N_din4_x2_c1_b,-629.313,Fe_N_din4_x2_c1_b,-626.942,1.8799999999999955
Pd_Fe_N_din4_x2_c1_b,-634.415,Pd,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Pd_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Pd_N_din4_x2_c1_b,-623.467,Fe_N_din4_x2_c1_b,-626.942,1.9869999999999663
Pt_Fe_N_din4_x2_c1_b,-635.704,Pt,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Pt_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Pt_N_din4_x2_c1_b,-624.885,Fe_N_din4_x2_c1_b,-626.942,2.116000000000213
Rh_Fe_N_din4_x2_c1_b,-637.125,Rh,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Rh_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Rh_N_din4_x2_c1_b,-625.685,Fe_N_din4_x2_c1_b,-626.942,1.4949999999998909
Ru_Fe_N_din4_x2_c1_b,-638.703,Ru,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ru_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Ru_N_din4_x2_c1_b,-627.366,Fe_N_din4_x2_c1_b,-626.942,1.5979999999999563
Zn_Fe_N_din4_x2_c1_b,-629.434,Zn,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Zn_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,Zn_N_din4_x2_c1_b,-619.699,Fe_N_din4_x2_c1_b,-626.942,3.200000000000159
Ag_Fe_N_din4_x2_c2_a,-629.159,Ag,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Ag_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,Ag_N_din4_x2_c2_a,-622.647,Fe_N_din4_x2_c2_a,-627.008,2.72300000000007
