System,Metal,Hetatom,Cavity,Base_Cavity,y,Pred_00000,Train_00000,sac_cavity
Cu_N_rol1_din2_c1_a,Cu,N,rol1_din2_c1_a,rol1_din2,0.543588250000083,0.143932398262738,False,N_rol1_din2_c1_a
Fe_C_rol3_c3,Fe,C,rol3_c3,rol3,-4.06128250000004,-3.30103813555796,False,C_rol3_c3
Fe_N_rol2_din2_c2_d1,Fe,N,rol2_din2_c2_d1,rol2_din2,-3.54128250000006,-3.73279377481377,False,N_rol2_din2_c2_d1
Fe_N_din4_c2_s2,Fe,N,din4_c2_s2,din4,-2.85328249999996,-2.31652395721644,False,N_din4_c2_s2
Fe_N_rol2_din2_b,Fe,N,rol2_din2_b,rol2_din2,-3.01128249999997,-3.11420951530814,False,N_rol2_din2_b
Fe_N_rol3_c2,Fe,N,rol3_c2,rol3,-3.31428249999997,-2.62407009344412,False,N_rol3_c2
Fe_N_din4_c2_d2,Fe,N,din4_c2_d2,din4,-2.58128250000002,-2.26286305139379,False,N_din4_c2_d2
Fe_N_rol2_din2_c3_b,Fe,N,rol2_din2_c3_b,rol2_din2,-4.5772825,-4.4804148533732,False,N_rol2_din2_c3_b
Fe_N_rol2_din2,Fe,N,rol2_din2,rol2_din2,-2.63728249999995,-2.60014226860621,False,N_rol2_din2
Fe_N_rol3_c1,Fe,N,rol3_c1,rol3,-2.47228249999998,-2.06742725794603,False,N_rol3_c1
Fe_N_rol2_din2_c2_s1,Fe,N,rol2_din2_c2_s1,rol2_din2,-4.21328250000008,-3.98023189645651,False,N_rol2_din2_c2_s1
Fe_N_din3_c1,Fe,N,din3_c1,din3,-0.24128249999999,0.167974187483526,False,N_din3_c1
Fe_N_rol1_din2_c2_s2,Fe,N,rol1_din2_c2_s2,rol1_din2,-0.553282500000002,0.03187789952546,False,N_rol1_din2_c2_s2
Fe_N_din4,Fe,N,din4,din4,-2.17628249999994,-1.8771922897075,False,N_din4
Fe_C_rol1_din2_c3,Fe,C,rol1_din2_c3,rol1_din2,-2.01328250000004,-1.37288677383384,False,C_rol1_din2_c3
Fe_N_rol2_din2_c3_a,Fe,N,rol2_din2_c3_a,rol2_din2,-4.77328250000003,-4.53857022198656,False,N_rol2_din2_c3_a
Fe_N_din4_c2_d1,Fe,N,din4_c2_d1,din4,-2.58128250000002,-2.304672859162,False,N_din4_c2_d1
Fe_C_din4_c4,Fe,C,din4_c4,din4,-0.823282499999984,-0.86535838763037,False,C_din4_c4
Fe_N_rol3,Fe,N,rol3,rol3,-2.20628250000002,-1.80802221167046,False,N_rol3
Fe_N_din4_c3,Fe,N,din4_c3,din4,-2.21328249999997,-2.11238185395397,False,N_din4_c3
Fe_C_rol2_din2_c4,Fe,C,rol2_din2_c4,rol2_din2,-4.89728250000005,-4.64983852631048,False,C_rol2_din2_c4
Fe_N_din3,Fe,N,din3,din3,0.55071750000004,0.529508373078285,False,N_din3
Fe_N_rol2_din2_c2_s2,Fe,N,rol2_din2_c2_s2,rol2_din2,-3.88928250000001,-3.85878044771692,False,N_rol2_din2_c2_s2
Fe_N_din4_c2_s1,Fe,N,din4_c2_s1,din4,-2.00728249999995,-2.13993227801102,False,N_din4_c2_s1
Fe_N_rol2_din2_a,Fe,N,rol2_din2_a,rol2_din2,-3.33328250000009,-3.25829600188074,False,N_rol2_din2_a
Fe_C_din3_c3,Fe,C,din3_c3,din3,-2.01228250000006,-1.34792125778124,False,C_din3_c3
Fe_N_rol1_din2_c1_a,Fe,N,rol1_din2_c1_a,rol1_din2,-0.239282499999923,0.12333061134008,False,N_rol1_din2_c1_a
Fe_N_din3_c2,Fe,N,din3_c2,din3,-0.556282500000044,0.060933572249013,False,N_din3_c2
Fe_N_rol2_din2_c2_s3,Fe,N,rol2_din2_c2_s3,rol2_din2,-1.7452824999999,-1.43540537125377,False,N_rol2_din2_c2_s3
Fe_N_rol1_din2_c2_s1,Fe,N,rol1_din2_c2_s1,rol1_din2,-0.558282499999997,0.062323921167945,False,N_rol1_din2_c2_s1
Fe_N_din4_c1,Fe,N,din4_c1,din4,-2.39328250000003,-2.15919451597417,False,N_din4_c1
Ir_C_din3_c3,Ir,C,din3_c3,din3,-1.33791625000002,-1.0866990326938,False,C_din3_c3
Ir_N_din4,Ir,N,din4,din4,-0.51891624999995,-1.21356897056027,False,N_din4
Ir_N_din3_c2,Ir,N,din3_c2,din3,0.801083749999986,0.860657718795954,False,N_din3_c2
